url,Course Title,Course Headline,Instructor,off_price,orig_price,Rating,Number of Ratings,Course Length,Number of Lectures,Difficulity,Subscribers
https://www.udemy.com/course/python-for-machine-learning-with-numpy-and-pandas/,"Python for Machine Learning with Numpy, Pandas & Matplotlib","Learn to Code in Python and How to use NumPy, Pandas, Matplotlib and Seaborn by real time Machine Learning project.","Code Warriors, Mayank Bajaj, Kaustubh Tripathi",14.99,19.99,4.0,318,7,5,Beginner,76594 
https://www.udemy.com/course/javascript-360/,JavaScript 360: Complete Introduction to EcmaScript,Introduction to JS and Algorithms,Dylan Israel,14.99,19.99,3.7,317,7.5,178,Beginner,26483 
https://www.udemy.com/course/javascript-360/,JavaScript 360: Complete Introduction to EcmaScript,Introduction to JS and Algorithms,Dylan Israel,14.99,19.99,3.7,317,7.5,178,Beginner,26483 
https://www.udemy.com/course/docker-for-professionals-the-practical-guide/,Docker for Professionals: The Practical Guide,Go from a novice to a pro with real life examples and practical course on docker deployments,Eduonix Learning Solutions,14.99,39.99,3.6,317,8,62,Intermediate,11506 
https://www.udemy.com/course/mcia-new/,MCIA- Mulesoft Certified Integration Architect course,Clear MCIA exam easily after taking this course,Sivaprasad Valluru,124.99,,4.4,316,10,30,All Levels,1886 
https://www.udemy.com/course/grafana-master-course-time-series-data-visualization/,Grafana Master Course - Time Series Data Visualization,"Query, Visualize, Alert on and understand your Metrics. Create, Explore and Share Dashboards using Grafana",MUTHUKUMAR Subramanian,14.99,89.99,4.4,316,3.5,43,All Levels,2820 
https://www.udemy.com/course/beginners-guide-to-information-technology/,Beginner's Guide to Information Technology,Learn the basics of Information Technology and Computer Engineering,Robert Gioia,14.99,39.99,4.4,316,1,30,Beginner,928 
https://www.udemy.com/course/the-complete-cloud-computing-course-for-beginners/,The Complete Cloud Computing Course for Beginners,"Learn Cloud Computing, Planning, Technologies, Architecture, Infrastructure, Cloud Models, IaaS, PaaS, SaaS & more !",Online Courses Institute,14.99,19.99,3.7,316,44 total min,41,Beginner,2989 
https://www.udemy.com/course/ultimate-hashicorp-terraform-certification-study-guide-2020/,Terraform Master Course | HashiCorp Certified Terraform 2021,Step by Step in depth Lectures with HandsOn LABs for AWS and GCP(Google Cloud) | Be Certified!,Dean Houari,14.99,34.99,4.3,315,22.5,87,All Levels,2930 
https://www.udemy.com/course/prepare-and-pass-aws-certified-cloud-practitioner-exam-hellocloudcerts/,Prepare & Pass AWS Certified Cloud Practitioner Exam,A Complete Master Course for AWS CCP Certification by Kasey Shah,Kasey Shah,14.99,49.99,4.5,315,12,124,Beginner,3637 
https://www.udemy.com/course/accelerated-certification-techniques/,Accelerated Learning Techniques for Success in IT Industry,"Learn: Study Skills, Certification Techniques, Continuous Learning,  Productivity, Focus, Time Management, Goal Setting",Janne Korhonen,14.99,49.99,4.6,315,1.5,29,All Levels,36561 
https://www.udemy.com/course/start-to-finish-creating-a-complete-game-using-unity3d/,Start to finish - Creating a complete game using Unity3D,Start to finish - build a complete game using Unity and C# and learn to think like a game programmer,The Point Pixels & Polygons,14.99,89.99,4.0,315,3.5,13,Beginner,59061 
https://www.udemy.com/course/sap-for-beginners-understanding-sap-the-easy-way/,SAP for Beginners – Get Started in SAP the Easy Way,Learn how to Navigate in SAP and how to Use SAP – Understand the Structure of SAP with this Easy to Follow Course,"Stefan Kohler, Dr. Felix Claus",14.99,19.99,4.0,315,2.5,22,Beginner,28248 
https://www.udemy.com/course/salesforce-platform-app-builder-rapid-exam-prep/,Platform App Builder: Rapid Exam Prep,Video exam prep course for the Salesforce Platform App Builder Certification,"Bobby Buntin, Jordan Elkin",94.99,,4.4,315,3,73,All Levels,1924 
https://www.udemy.com/course/ubuntu-linux-dekstop-basics/,Ubuntu Linux Desktop Basics,Learn How to install Ubuntu on a virtual machine or directly on your computer and start performing common tasks,Zulqarnain Hayat,14.99,34.99,4.0,314,2.5,27,Beginner,47950 
https://www.udemy.com/course/ccna-in-60-days/,Cisco CCNA in 60 Days,"Your daily study system including labs, 800 page study guide, theory, exams, cram guide, subnetting system and more.",Paul Browning,14.99,19.99,4.3,314,15,126,Beginner,1413 
https://www.udemy.com/course/sc-300-exam-prep-microsoft-identity-and-access-administrator/,Azure Active Directory: An Introduction to Azure AD,"An Intro to Azure AD through Interactive Labs, Video Demos, Lectures, Flashcards, & 200+ Downloadable Slides","Thomas Mitchell (70,000+ Students)",14.99,19.99,4.4,311,4,62,Beginner,3827 
https://www.udemy.com/course/isoiec-27701-privacy-information-management-system/,ISO/IEC 27701. Privacy Information Management System,Enhance your privacy knowledge with the latest ISO standard on this topic.,Cristian Lupa,14.99,44.99,4.4,315,4,47,All Levels,1109 
https://www.udemy.com/course/metasploit-offensive-security-methods/,Practical Hacking: Undetectable Malware,Become a Practical Ethical Hacker : Learn How to bypass antiviruses and firewall also learn how to defense against it.,"Arsalan Saleem, Secure Techware",14.99,24.99,4.8,314,1.5,24,Intermediate,2390 
https://www.udemy.com/course/software-defined-radio/,SDR for Ethical Hackers and Security Researchers,Software Defined Radio Master Series: Learn How SDR can be used in Finding Vulnerabilities in Wireless Devices,"Arsalan Saleem, Secure Techware",14.99,89.99,4.3,314,5,66,All Levels,2077 
https://www.udemy.com/course/vsphere7/,"vSphere 7 Overview: Upgrade Demos, Changes, & New Features","Learn new features of VMware vSphere 7, like Kubernetes, Upgrades, Lifecycle Manager, Assignable Hardware, DRS, and more",Rick Crisci,14.99,19.99,4.5,308,4,38,Intermediate,1758 
https://www.udemy.com/course/pcbelectronics-thermal-management-derating-fundamentals/,"PCB/Electronics: Thermal Management, Cooling and Derating","Master the most important concepts of cooling, thermal management and derating, with a focus on PCB development aspects.",Marco CATANOSSI,14.99,89.99,4.3,312,1.5,31,All Levels,1518 
https://www.udemy.com/course/vmwarevsphere/,Clear and Simple VMware vSphere 7 Professional VCP 2V0-21.20,Prepare for the VMware VCP-DCV 2021 2V0-21.20 exam. Learn all about vSphere version 7 and how to manage it.,Rick Crisci,14.99,39.99,4.5,308,13.5,104,Intermediate,2336 
https://www.udemy.com/course/azure-cloud-computing/,Cloud Computing for Beginners with Microsoft Azure,"Learn the basics of cloud computing and start using Azure services; from virtual machines, to databases and web apps.",Eduardo Rosas,14.99,64.99,4.2,312,4.5,51,Beginner,2633 
https://www.udemy.com/course/a-gentle-introduction-to-python-programming/,A Gentle Introduction to Python Programming,Python programming made easy and taught step by step. Learn by doing as you go from basics to advanced concepts.,EDUmobile Academy,14.99,89.99,4.3,312,3.5,25,All Levels,9312 
https://www.udemy.com/course/ccie-security-v50-asa-961-labs-with-baldev/,CCIE Security ASA 9.6.1 Deep Dive: Labs,Master Cisco Adaptive Security Appliance (ASA). Learn About Cisco ASA OS 9.6.1 in An Easy Way...,Baldev Singh,15.99,89.99,3.6,312,42,277,All Levels,1889 
https://www.udemy.com/course/cyber-security-building-a-cyberwarrior-certification/,Cyber Security: Building a CyberWarrior Certification,A short-but-intense certification program in cybersecurity,"Starweaver Team, Kevin Cardwell, Paul Siegel",14.99,24.99,4.3,311,5.5,45,Beginner,32811 
https://www.udemy.com/course/design-pcb-using-eagle-cadsoft-step-by-step/,design PCB using Eagle Cadsoft step by step(Older Version),"Best way to design PCB circuit boards using Eagle , learn how to choose your project and design it from scratch",Mohannad Rawashdeh,14.99,19.99,4.3,310,3,38,All Levels,1147 
https://www.udemy.com/course/exam-review-aws-certified-cloud-practitioner/,AWS Certified Cloud Practitioner - EXAM REVIEW - 2021,AWS Certified Cloud Practitioner - 3 HOUR Crash Course for the AWS Certification,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",14.99,19.99,4.6,311,2.5,25,All Levels,11287 
https://www.udemy.com/course/the-complete-traefik-training-course/,The Complete Traefik Training Course,"Learn to Deploy, Configure, and Maintain Traefik","Brian Christner, Docker Captain Program",14.99,89.99,4.7,311,5,66,All Levels,1604 
https://www.udemy.com/course/sql-server-performance-tuning-101/,How to Become a World Class SQL Server Performance Tuner,Use These Scripts in Production Right Now,Mike West,14.99,19.99,3.7,311,2,50,All Levels,2174 
https://www.udemy.com/course/kali-linux-hacking-for-beginners/,Kali Linux - Hacking for beginners,Ethical Hacking and penetration testing with Kali Linux!  (incl. do a first hacking challenge on our website),Hubert Seitzweder,14.99,19.99,4.2,310,3.5,39,Beginner,23831 
https://www.udemy.com/course/angular-6-crash-course/,Angular Crash Course with Node and Java Backend,Master Angular Fundamentals and create a project in easy steps,Bharath Thippireddy,14.99,29.99,4.4,310,9,186,Beginner,1419 
https://www.udemy.com/course/the-complete-deep-web-course-2017/,The Complete Deep Web Course: Become An Expert!,The Complete Guide On How To Safely And Securely Access The Deep Web!,HackerSploit Academy,14.99,89.99,4.5,310,4,33,All Levels,3531 
